,P,ET,wy,sumP,D
2001-04-06,1.3547771940577218,2.073877507338551,2001,404.3660644871736,54.777567242957886
2001-04-07,2.2653212744954954,2.062673679060665,2001,406.6313857616691,54.57491964752305
2001-04-08,0.0,2.052925024461839,2001,406.6313857616691,56.62784467198489
2001-04-09,0.9856580508187645,2.043176369863013,2001,407.61704381248785,57.68536299102914
2001-04-10,0.0,2.0334277152641875,2001,407.61704381248785,59.718790706293326
2001-04-11,0.0,2.0236790606653616,2001,407.61704381248785,61.742469766958685
2001-04-12,0.0,2.0139304060665357,2001,407.61704381248785,63.75640017302522
2001-04-13,0.0,2.0041817514677103,2001,407.61704381248785,65.76058192449293
2001-04-14,0.0,1.9944330968688844,2001,407.61704381248785,67.75501502136181
2001-04-15,0.0,1.9846844422700585,2001,407.61704381248785,69.73969946363187
2001-04-16,0.0,2.1112915851272014,2001,407.61704381248785,71.85099104875907
2001-04-17,0.0,2.2378987279843443,2001,407.61704381248785,74.08888977674341
2001-04-18,0.0,2.3645058708414872,2001,407.61704381248785,76.4533956475849
2001-04-19,2.586637341296735,2.49111301369863,2001,410.2036811537846,76.3578713199868
2001-04-20,6.893657961039964,2.617720156555773,2001,417.0973391148246,72.08193351550261
2001-04-21,7.3836010626560675,2.7443272994129155,2001,424.48094017748065,67.44265975225946
2001-04-22,0.0,2.8709344422700585,2001,424.48094017748065,70.31359419452951
2001-04-23,0.0,2.9975415851272014,2001,424.48094017748065,73.31113577965671
2001-04-24,0.0,3.00314946183953,2001,424.48094017748065,76.31428524149624
2001-04-25,0.0,3.0087573385518587,2001,424.48094017748065,79.3230425800481
2001-04-26,0.0,3.0143652152641875,2001,424.48094017748065,82.33740779531229
2001-04-27,0.0,3.019973091976516,2001,424.48094017748065,85.3573808872888
2001-04-28,0.0,3.0255809686888444,2001,424.48094017748065,88.38296185597764
2001-04-29,0.0,3.0311888454011733,2001,424.48094017748065,91.41415070137882
2001-04-30,0.0,3.036796722113502,2001,424.48094017748065,94.45094742349232
2001-05-01,0.0,3.0424045988258306,2001,424.48094017748065,97.49335202231815
2001-05-02,0.0,2.9535353473581205,2001,424.48094017748065,100.44688736967628
2001-05-03,0.0,2.86466609589041,2001,424.48094017748065,103.31155346556669
2001-05-04,0.0,2.7757968444226995,2001,424.48094017748065,106.08735030998939
2001-05-05,0.0,2.6869275929549894,2001,424.48094017748065,108.77427790294438
2001-05-06,0.0,2.5980583414872793,2001,424.48094017748065,111.37233624443165
2001-05-07,0.0,2.509189090019569,2001,424.48094017748065,113.88152533445123
2001-05-08,0.0,2.4203198385518583,2001,424.48094017748065,116.30184517300309
2001-05-09,0.0,2.331450587084148,2001,424.48094017748065,118.63329576008724
2001-05-10,0.0,2.276540790117416,2001,424.48094017748065,120.90983655020466
2001-05-11,0.0,2.2216309931506846,2001,424.48094017748065,123.13146754335534
2001-05-12,0.0,2.1667211961839525,2001,424.48094017748065,125.2981887395393
2001-05-13,0.0,2.1118113992172205,2001,424.48094017748065,127.41000013875652
2001-05-14,0.0,2.0569016022504885,2001,424.48094017748065,129.466901741007
2001-05-15,0.0,2.001991805283757,2001,424.48094017748065,131.46889354629076
2001-05-16,0.0,1.9470820083170248,2001,424.48094017748065,133.41597555460777
2001-05-17,0.0,1.892172211350293,2001,424.48094017748065,135.30814776595807
2001-05-18,0.0,1.8191738013698624,2001,424.48094017748065,137.12732156732793
2001-05-19,0.0,1.746175391389432,2001,424.48094017748065,138.87349695871737
2001-05-20,0.0,1.6731769814090014,2001,424.48094017748065,140.54667394012637
2001-05-21,0.0,1.6001785714285708,2001,424.48094017748065,142.14685251155493
2001-05-22,0.0,1.5271801614481404,2001,424.48094017748065,143.67403267300307
2001-05-23,0.0,1.4541817514677098,2001,424.48094017748065,145.12821442447077
2001-05-24,0.0,1.3811833414872794,2001,424.48094017748065,146.50939776595806
2001-05-25,0.0,1.3081849315068488,2001,424.48094017748065,147.8175826974649
2001-05-26,0.0,1.3217973336594908,2001,424.48094017748065,149.1393800311244
2001-05-27,0.0,1.3354097358121326,2001,424.48094017748065,150.47478976693654
2001-05-28,0.0,1.3490221379647744,2001,424.48094017748065,151.8238119049013
2001-05-29,0.0,1.3626345401174165,2001,424.48094017748065,153.18644644501873
2001-05-30,0.0,1.3762469422700585,2001,424.48094017748065,154.5626933872888
2001-05-31,0.0,1.3898593444227003,2001,424.48094017748065,155.95255273171148
2001-06-01,0.0,1.4034717465753421,2001,424.48094017748065,157.35602447828683
2001-06-02,0.0,1.4170841487279842,2001,424.48094017748065,158.7731086270148
2001-06-03,0.0,1.4081066536203521,2001,424.48094017748065,160.18121528063517
2001-06-04,0.0,1.3991291585127201,2001,424.48094017748065,161.5803444391479
2001-06-05,0.0,1.390151663405088,2001,424.48094017748065,162.97049610255297
2001-06-06,0.0,1.3811741682974559,2001,424.48094017748065,164.35167027085043
2001-06-07,0.0,1.3721966731898239,2001,424.48094017748065,165.72386694404025
2001-06-08,0.0,1.3632191780821916,2001,424.48094017748065,167.08708612212246
2001-06-09,0.0,1.3542416829745596,2001,424.48094017748065,168.44132780509702
2001-06-10,0.0,1.3452641878669276,2001,424.48094017748065,169.78659199296393
2001-06-11,0.0,1.3610698997064579,2001,424.48094017748065,171.14766189267038
2001-06-12,0.0,1.3768756115459881,2001,424.48094017748065,172.52453750421637
2001-06-13,0.0,1.3926813233855186,2001,424.48094017748065,173.91721882760189
2001-06-14,0.0,1.408487035225049,2001,424.48094017748065,175.32570586282694
2001-06-15,0.0,1.4242927470645792,2001,424.48094017748065,176.74999860989152
2001-06-16,0.0,1.4400984589041097,2001,424.48094017748065,178.19009706879564
2001-06-17,0.0,1.45590417074364,2001,424.48094017748065,179.6460012395393
2001-06-18,0.0,1.4717098825831703,2001,424.48094017748065,181.11771112212247
2001-06-19,0.0,1.460563233855186,2001,424.48094017748065,182.57827435597767
2001-06-20,0.0,1.4494165851272016,2001,424.48094017748065,184.02769094110488
2001-06-21,0.0,1.4382699363992173,2001,424.48094017748065,185.4659608775041
2001-06-22,0.0,1.427123287671233,2001,424.48094017748065,186.89308416517534
2001-06-23,0.0,1.4159766389432484,2001,424.48094017748065,188.3090608041186
2001-06-24,0.0,1.4048299902152641,2001,424.48094017748065,189.71389079433385
2001-06-25,0.0,1.3936833414872798,2001,424.48094017748065,191.10757413582112
2001-06-26,0.6679170882145975,1.3825366927592955,2001,425.14885726569526,191.82219374036583
2001-06-27,0.33310362715286157,1.3785307607632094,2001,425.4819608928481,192.8676208739762
2001-06-28,0.23249222644860496,1.3745248287671232,2001,425.7144531192967,194.00965347629472
2001-06-29,0.0,1.370518896771037,2001,425.7144531192967,195.38017237306576
2001-06-30,0.0,1.3665129647749508,2001,425.7144531192967,196.74668533784072
2001-07-01,0.0,1.3625070327788646,2001,425.7144531192967,198.10919237061958
2001-07-02,0.0,1.3585011007827785,2001,425.7144531192967,199.46769347140236
2001-07-03,0.0,1.3544951687866924,2001,425.7144531192967,200.82218864018904
2001-07-04,0.0,1.3504892367906063,2001,425.7144531192967,202.17267787697963
2001-07-05,0.0,1.3299578033268098,2001,425.7144531192967,203.50263568030644
2001-07-06,0.0,1.3094263698630133,2001,425.7144531192967,204.81206205016946
2001-07-07,0.0,1.2888949363992168,2001,425.7144531192967,206.1009569865687
2001-07-08,0.0,1.2683635029354203,2001,425.7144531192967,207.3693204895041
2001-07-09,0.0,1.2478320694716236,2001,425.7144531192967,208.61715255897573
2001-07-10,0.0,1.2273006360078271,2001,425.7144531192967,209.84445319498357
2001-07-11,0.0,1.2067692025440306,2001,425.7144531192967,211.0512223975276
2001-07-12,0.0,1.1862377690802342,2001,425.7144531192967,212.23746016660783
2001-07-13,0.0,1.1580274584148722,2001,425.7144531192967,213.3954876250227
2001-07-14,0.0,1.1298171477495103,2001,425.7144531192967,214.52530477277222
2001-07-15,0.0,1.1016068370841483,2001,425.7144531192967,215.62691160985636
2001-07-16,0.0,1.0733965264187864,2001,425.7144531192967,216.70030813627514
2001-07-17,0.0,1.0451862157534244,2001,425.7144531192967,217.74549435202857
2001-07-18,0.0,1.0169759050880625,2001,425.7144531192967,218.76247025711663
2001-07-19,0.0,0.9887655944227005,2001,425.7144531192967,219.75123585153932
2001-07-20,0.0,0.9605552837573386,2001,425.7144531192967,220.71179113529666
2001-07-21,0.0,0.9401947773972603,2001,425.7144531192967,221.65198591269393
2001-07-22,0.0,0.9198342710371821,2001,425.7144531192967,222.57182018373112
2001-07-23,0.0,0.8994737646771037,2001,425.7144531192967,223.47129394840823
2001-07-24,0.0,0.8791132583170255,2001,425.7144531192967,224.35040720672527
2001-07-25,0.0,0.8587527519569472,2001,425.7144531192967,225.20915995868222
2001-07-26,0.0,0.8383922455968689,2001,425.7144531192967,226.0475522042791
2001-07-27,0.0,0.8180317392367906,2001,425.7144531192967,226.8655839435159
2001-07-28,0.0,0.7976712328767124,2001,425.7144531192967,227.66325517639262
2001-07-29,0.0,0.7899162181996087,2001,425.7144531192967,228.45317139459223
2001-07-30,0.0,0.782161203522505,2001,425.7144531192967,229.23533259811472
2001-07-31,0.0,0.7744061888454011,2001,425.7144531192967,230.00973878696013
2001-08-01,0.0,0.7666511741682974,2001,425.7144531192967,230.77638996112842
2001-08-02,0.0,0.7588961594911937,2001,425.7144531192967,231.53528612061962
2001-08-03,0.0,0.7511411448140899,2001,425.7144531192967,232.2864272654337
2001-08-04,0.0,0.7433861301369862,2001,425.7144531192967,233.0298133955707
2001-08-05,0.0,0.7356311154598825,2001,425.7144531192967,233.76544451103058
2001-08-06,0.0,0.726825464774951,2001,425.7144531192967,234.49226997580553
2001-08-07,0.0,0.7180198140900195,2001,425.7144531192967,235.21028978989554
2001-08-08,0.0,0.7092141634050879,2001,425.7144531192967,235.91950395330062
2001-08-09,0.0,0.7004085127201565,2001,425.7144531192967,236.61991246602076
2001-08-10,0.0,0.691602862035225,2001,425.7144531192967,237.31151532805598
2001-08-11,0.0,0.6827972113502935,2001,425.7144531192967,237.99431253940628
2001-08-12,0.0,0.6739915606653619,2001,425.7144531192967,238.66830410007165
2001-08-13,0.0,0.6651859099804305,2001,425.7144531192967,239.3334900100521
2001-08-14,0.0,0.6586227984344422,2001,425.7144531192967,239.99211280848652
2001-08-15,0.0,0.652059686888454,2001,425.7144531192967,240.644172495375
2001-08-16,0.0,0.6454965753424657,2001,425.7144531192967,241.28966907071745
2001-08-17,0.0,0.6389334637964774,2001,425.7144531192967,241.92860253451394
2001-08-18,0.0,0.6323703522504891,2001,425.7144531192967,242.56097288676443
2001-08-19,0.0,0.6258072407045009,2001,425.7144531192967,243.18678012746892
2001-08-20,0.0,0.6192441291585127,2001,425.7144531192967,243.80602425662744
2001-08-21,0.0,0.6126810176125244,2001,425.7144531192967,244.41870527423995
2001-08-22,0.0,0.6102216854207435,2001,425.7144531192967,245.0289269596607
2001-08-23,0.0,0.6077623532289627,2001,425.7144531192967,245.63668931288967
2001-08-24,0.0,0.6053030210371818,2001,425.7144531192967,246.24199233392685
2001-08-25,0.0,0.602843688845401,2001,425.7144531192967,246.84483602277226
2001-08-26,0.0,0.6003843566536201,2001,425.7144531192967,247.44522037942588
2001-08-27,0.0,0.5979250244618393,2001,425.7144531192967,248.0431454038877
2001-08-28,0.0,0.5954656922700584,2001,425.7144531192967,248.63861109615777
2001-08-29,0.0,0.5930063600782776,2001,425.7144531192967,249.23161745623605
2001-08-30,0.0,0.5902403375733852,2001,425.7144531192967,249.82185779380944
2001-08-31,0.0,0.5874743150684929,2001,425.7144531192967,250.40933210887795
2001-09-01,0.0,0.5847082925636006,2001,425.7144531192967,250.99404040144154
2001-09-02,0.0,0.5819422700587082,2001,425.7144531192967,251.57598267150024
2001-09-03,0.0,0.5791762475538158,2001,425.7144531192967,252.15515891905406
2001-09-04,0.0,0.5764102250489235,2001,425.7144531192967,252.731569144103
2001-09-05,0.0,0.5736442025440311,2001,425.7144531192967,253.305213346647
2001-09-06,0.0,0.5708781800391388,2001,425.7144531192967,253.87609152668614
2001-09-07,0.0,0.5660053816046966,2001,425.7144531192967,254.44209690829084
2001-09-08,0.0,0.5611325831702543,2001,425.7144531192967,255.0032294914611
2001-09-09,0.0,0.556259784735812,2001,425.7144531192967,255.5594892761969
2001-09-10,0.0,0.5513869863013697,2001,425.7144531192967,256.11087626249827
2001-09-11,0.0,0.5465141878669275,2001,425.7144531192967,256.6573904503652
2001-09-12,0.0,0.5416413894324852,2001,425.7144531192967,257.19903183979767
2001-09-13,0.0,0.5367685909980429,2001,425.7144531192967,257.73580043079573
2001-09-14,0.0,0.5318957925636006,2001,425.7144531192967,258.26769622335934
2001-09-15,0.0,0.5574666707436398,2001,425.7144531192967,258.82516289410296
2001-09-16,0.0,0.583037548923679,2001,425.7144531192967,259.40820044302666
2001-09-17,0.0,0.6086084271037181,2001,425.7144531192967,260.0168088701304
2001-09-18,0.0,0.6341793052837572,2001,425.7144531192967,260.6509881754141
2001-09-19,0.0,0.6597501834637963,2001,425.7144531192967,261.3107383588779
2001-09-20,0.0,0.6853210616438354,2001,425.7144531192967,261.99605942052176
2001-09-21,0.0,0.7108919398238747,2001,425.7144531192967,262.7069513603456
2001-09-22,0.0,0.7364628180039138,2001,425.7144531192967,263.44341417834954
2001-09-23,0.0,0.7388447896281799,2001,425.7144531192967,264.1822589679777
2001-09-24,1.4637409133614656,0.7412267612524461,2001,427.17819403265815,263.4597448158687
2001-09-25,10.641828917468768,0.7436087328767123,2001,437.82002295012694,253.56152463127665
2001-09-26,0.0,0.7459907045009784,2001,437.82002295012694,254.30751533577762
2001-09-27,0.0,0.7483726761252446,2001,437.82002295012694,255.05588801190288
2001-09-28,0.0,0.7507546477495107,2001,437.82002295012694,255.8066426596524
2001-09-29,0.0,0.753136619373777,2001,437.82002295012694,256.5597792790262
2001-09-30,0.0,0.7555185909980431,2001,437.82002295012694,257.31529787002427
2001-10-01,0.0,0.7572841242661448,2002,0.0,258.07258199429043
2001-10-02,0.0,0.7590496575342466,2002,0.0,258.8316316518247
2001-10-03,0.0,0.7608151908023483,2002,0.0,259.59244684262706
2001-10-04,0.0,0.7625807240704501,2002,0.0,260.3550275666975
2001-10-05,0.0,0.7643462573385518,2002,0.0,261.1193738240361
2001-10-06,0.0,0.7661117906066535,2002,0.0,261.88548561464273
2001-10-07,0.0,0.7678773238747553,2002,0.0,262.6533629385175
2001-10-08,0.0,0.769642857142857,2002,0.0,263.42300579566034
2001-10-09,0.0,0.7846324608610565,2002,0.0,264.2076382565214
2001-10-10,0.0,0.7996220645792562,2002,0.0,265.00726032110066
2001-10-11,0.0,0.8146116682974558,2002,0.0,265.8218719893981
2001-10-12,0.0,0.8296012720156554,2002,0.0,266.6514732614138
2001-10-13,0.0,0.8445908757338549,2002,0.0,267.49606413714764
2001-10-14,0.0,0.8595804794520545,2002,0.0,268.3556446165997
2001-10-15,0.0,0.8745700831702542,2002,0.0,269.23021469976993
2001-10-16,0.0,0.8895596868884538,2002,0.0,270.1197743866584
2001-10-17,0.0,0.9127430895303325,2002,0.0,271.03251747618873
2001-10-18,0.0,0.9359264921722111,2002,0.0,271.96844396836093
2001-10-19,0.0,0.9591098948140898,2002,0.0,272.92755386317504
